This file created by XXX
241 	 0.69 	 0.55 	 0.050 	 0.163 
178 	 0.69 	 0.55 	 0.050 	 0.163 
241 	 0.24 	 0.55 	 0.050 	 0.163 
241 	 0.69 	 0.24 	 0.050 	 0.163 
241 	 0.69 	 0.55 	 0.003 	 0.163 
241 	 0.69 	 0.55 	 0.050 	 0.383 
262 	 0.81 	 0.93 	 0.090 	 0.493 
322 	 0.81 	 0.93 	 0.090 	 0.493 
262 	 0.04 	 0.93 	 0.090 	 0.493 
262 	 0.81 	 0.72 	 0.090 	 0.493 
262 	 0.81 	 0.93 	 0.086 	 0.493 
262 	 0.81 	 0.93 	 0.090 	 0.636 
 47 	 0.60 	 0.56 	 0.006 	 0.711 
215 	 0.60 	 0.56 	 0.006 	 0.711 
 47 	 1.28 	 0.56 	 0.006 	 0.711 
 47 	 0.60 	 0.99 	 0.006 	 0.711 
 47 	 0.60 	 0.56 	 0.057 	 0.711 
 47 	 0.60 	 0.56 	 0.006 	 0.212 
 57 	 0.78 	 0.94 	 0.034 	 0.530 
374 	 0.78 	 0.94 	 0.034 	 0.530 
 57 	 1.22 	 0.94 	 0.034 	 0.530 
 57 	 0.78 	 0.04 	 0.034 	 0.530 
 57 	 0.78 	 0.94 	 0.051 	 0.530 
 57 	 0.78 	 0.94 	 0.034 	 0.698 
 21 	 1.10 	 0.06 	 0.024 	 0.112 
250 	 1.10 	 0.06 	 0.024 	 0.112 
 21 	 0.12 	 0.06 	 0.024 	 0.112 
 21 	 1.10 	 0.90 	 0.024 	 0.112 
 21 	 1.10 	 0.06 	 0.072 	 0.112 
 21 	 1.10 	 0.06 	 0.024 	 0.484 
256 	 0.14 	 0.78 	 0.031 	 0.956 
271 	 0.14 	 0.78 	 0.031 	 0.956 
256 	 0.96 	 0.78 	 0.031 	 0.956 
256 	 0.14 	 0.97 	 0.031 	 0.956 
256 	 0.14 	 0.78 	 0.080 	 0.956 
256 	 0.14 	 0.78 	 0.031 	 0.762 
276 	 1.44 	 0.08 	 0.027 	 0.461 
297 	 1.44 	 0.08 	 0.027 	 0.461 
276 	 1.96 	 0.08 	 0.027 	 0.461 
276 	 1.44 	 0.35 	 0.027 	 0.461 
276 	 1.44 	 0.08 	 0.098 	 0.461 
276 	 1.44 	 0.08 	 0.027 	 0.416 
330 	 1.86 	 0.59 	 0.084 	 0.346 
364 	 1.86 	 0.59 	 0.084 	 0.346 
330 	 1.00 	 0.59 	 0.084 	 0.346 
330 	 1.86 	 0.14 	 0.084 	 0.346 
330 	 1.86 	 0.59 	 0.059 	 0.346 
330 	 1.86 	 0.59 	 0.084 	 0.367 
400 	 0.58 	 0.88 	 0.013 	 0.872 
 65 	 0.58 	 0.88 	 0.013 	 0.872 
400 	 1.30 	 0.88 	 0.013 	 0.872 
400 	 0.58 	 0.86 	 0.013 	 0.872 
400 	 0.58 	 0.88 	 0.019 	 0.872 
400 	 0.58 	 0.88 	 0.013 	 0.455 
  1 	 1.13 	 0.28 	 0.075 	 0.232 
199 	 1.13 	 0.28 	 0.075 	 0.232 
  1 	 0.52 	 0.28 	 0.075 	 0.232 
  1 	 1.13 	 0.71 	 0.075 	 0.232 
  1 	 1.13 	 0.28 	 0.045 	 0.232 
  1 	 1.13 	 0.28 	 0.075 	 0.916 
368 	 1.50 	 0.01 	 0.060 	 0.296 
347 	 1.50 	 0.01 	 0.060 	 0.296 
368 	 1.65 	 0.01 	 0.060 	 0.296 
368 	 1.50 	 0.62 	 0.060 	 0.296 
368 	 1.50 	 0.01 	 0.053 	 0.296 
368 	 1.50 	 0.01 	 0.060 	 0.436 
387 	 1.68 	 0.12 	 0.095 	 0.273 
207 	 1.68 	 0.12 	 0.095 	 0.273 
387 	 1.80 	 0.12 	 0.095 	 0.273 
387 	 1.68 	 0.58 	 0.095 	 0.273 
387 	 1.68 	 0.12 	 0.089 	 0.273 
387 	 1.68 	 0.12 	 0.095 	 0.604 
189 	 0.66 	 0.96 	 0.063 	 0.180 
202 	 0.66 	 0.96 	 0.063 	 0.180 
189 	 0.44 	 0.96 	 0.063 	 0.180 
189 	 0.66 	 0.48 	 0.063 	 0.180 
189 	 0.66 	 0.96 	 0.093 	 0.180 
189 	 0.66 	 0.96 	 0.063 	 0.394 
 18 	 0.27 	 0.91 	 0.065 	 0.588 
123 	 0.27 	 0.91 	 0.065 	 0.588 
 18 	 0.48 	 0.91 	 0.065 	 0.588 
 18 	 0.27 	 0.69 	 0.065 	 0.588 
 18 	 0.27 	 0.91 	 0.020 	 0.588 
